"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""Acetophenone""]","KWOLFJPFCHCOCG-UHFFFAOYSA-N","Quantity[117.4, ""Centimeters""^3/""Moles""]","Quantity[19.6, Sqrt[""Megapascals""]]","Quantity[8.6, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""AcetylChloride""]","WETWJCDKMRHUPV-UHFFFAOYSA-N","Quantity[71., ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[10.6, Sqrt[""Megapascals""]]","Quantity[3.9, Sqrt[""Megapascals""]]","Quantity[19.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Acrylonitrile""]","NLHHRLWOUZZQLW-UHFFFAOYSA-N","Quantity[67.1, ""Centimeters""^3/""Moles""]","Quantity[16.4, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[24.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""AllylAlcohol""]","XXROGKLTLUQVRX-UHFFFAOYSA-N","Quantity[68.4, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[10.8, Sqrt[""Megapascals""]]","Quantity[16.8, Sqrt[""Megapascals""]]","Quantity[25.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""AmylAlcohol""]","AMQJEAYHLZJPGS-UHFFFAOYSA-N","Quantity[109., ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[13.9, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Anisole""]","RDOXTESZEPMUJZ-UHFFFAOYSA-N","Quantity[119.1, ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[19.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Benzaldehyde""]","HUMNYLRZRPPJDN-UHFFFAOYSA-N","Quantity[101.5, ""Centimeters""^3/""Moles""]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[5.3, Sqrt[""Megapascals""]]","Quantity[21.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Benzene""]","UHOVQNZJYSORNB-UHFFFAOYSA-N","Quantity[89.4, ""Centimeters""^3/""Moles""]","Quantity[18.4, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[18.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""BenzoicAcid""]","WPYMKLBDIGXBTP-UHFFFAOYSA-N","Quantity[100., ""Centimeters""^3/""Moles""]","Quantity[18.2, Sqrt[""Megapascals""]]","Quantity[7., Sqrt[""Megapascals""]]","Quantity[9.8, Sqrt[""Megapascals""]]","Quantity[21.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Benzonitrile""]","JFDZBHWFFUWGJE-UHFFFAOYSA-N","Quantity[102.6, ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[9., Sqrt[""Megapascals""]]","Quantity[3.3, Sqrt[""Megapascals""]]","Quantity[19.8, Sqrt[""Megapascals""]]"
